Title: Dynamical Classifications of multi-opposition TNOs as of December 2023 
Authors: Volk K., Van Laerhoven C.
Table: TNO classifications
================================================================================
Byte-by-byte Description of file: rnaasad22d4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   Des   Minor Planet Center designation (1)
   9- 18 A10    ---   Class Gladman et al. 2008 dynamical classification
  20- 21 A2     ---   p     Resonant integer p for resonant objects (2)
  23- 24 I2     ---   q     Resonant integer q for resonant objects (3)
  26- 27 A2     ---   soi   Secure (S) or insecure (I) classification (4)
  29- 36 F8.3   au    a     Barycentric semimajor axis of the best-fit orbit
  38- 42 F5.3   ---   e     Eccentricity of the best-fit orbit
  44- 50 F7.3   deg   i     Ecliptic inclination of the best-fit orbit
--------------------------------------------------------------------------------
Note (1): Packed for provisional designations.
Note (2): i/m/o for classical objects, 0 otherwise.
Note (3): 0 for non-resonant objects.
Note (4): With 'H' indicating a human judgement call.
--------------------------------------------------------------------------------
312645  resonant   2   1 S    47.554 0.305  18.890 
315530  classical  m   0 S    41.778 0.139  27.405 
315898  jc         0   0 S     8.393 0.353  42.047 
316179  scattering 0   0 S    30.641 0.313  19.235 
328884  centaur    0   0 S    13.420 0.320  24.905 
330836  centaur    0   0 S    21.462 0.419  17.877 
332685  jc         0   0 S    12.695 0.445  23.287 
336756  scattering 0   0 I   283.929 0.967 140.780 
341275  centaur    0   0 S    19.917 0.233  28.764 
341520  resonant   3   2 S    39.216 0.264  11.283 
342842  jc         0   0 S    11.585 0.440 105.072 
346889  jc         0   0 S    10.792 0.444  19.889 
349933  jc         0   0 S    12.045 0.460  30.990 
353222  scattering 0   0 S   122.266 0.891  30.795 
363330  classical  m   0 S    43.802 0.048   3.076 
363401  classical  m   0 S    45.589 0.131   2.297 
364171  classical  m   0 S    44.687 0.080   3.549 
382004  jc         0   0 S    19.755 0.688  27.014 
385185  resonant   3   2 S    39.204 0.197   3.714 
385191  classical  m   0 S    41.308 0.026  12.734 
385194  classical  m   0 S    43.393 0.050   0.789 
385199  classical  m   0 S    45.349 0.046   2.152 
385201  classical  m   0 S    43.165 0.073  12.410 
385266  classical  m   0 S    42.618 0.096   1.800 
385362  classical  m   0 S    46.245 0.144   3.701 
385363  classical  m   0 S    44.861 0.072   3.932 
385437  classical  m   0 S    44.148 0.079   1.102 
385445  resonant   3   2 S    39.422 0.150   3.664 
385446  resonant   7   4 I    43.715 0.113   2.667 
385447  classical  m   0 S    43.815 0.029   4.460 
385458  resonant   17  9 I    45.964 0.170   5.081 
385527  resonant   7   4 S    43.780 0.243   3.465 
385528  detached   0   0 S    56.248 0.339   6.919 
385533  resonant   12  7 I    43.034 0.114  23.862 
385571  resonant   1   1 S    30.150 0.027   1.432 
385607  resonant   3   1 I    62.691 0.344  25.038 
385695  resonant   1   1 S    30.138 0.053   5.252 
386723  classical  m   0 S    44.334 0.144  29.091 
386968  centaur    0   0 S    21.524 0.458   2.036 
389820  jc         0   0 S     8.911 0.377   6.442 
395699  centaur    0   0 S    15.021 0.372  12.678 
408832  classical  m   0 S    44.088 0.040   2.151 
413666  scattering 0   0 I    35.391 0.682   6.951 
415720  classical  m   0 S    43.045 0.070   7.737 
416400  classical  m   0 S    44.222 0.133  27.421 
418993  scattering 0   0 S   351.828 0.969  68.015 
420356  resonant   22 13 I    42.704 0.008   1.094 
427507  centaur    0   0 S    22.026 0.366  22.475 
427581  resonant   5   4 S    34.871 0.093   3.490 
427614  classical  m   0 S    40.099 0.054  23.913 
432949  resonant   5   4 S    34.875 0.164  28.582 
434194  classical  m   0 S    42.565 0.048   2.272 
434390  detached   0   0 S    55.201 0.319   5.138 
434709  resonant   5   3 S    42.172 0.228  17.916 
437313  jc         0   0 S    12.921 0.583   8.985 
437360  detached   0   0 S   111.213 0.672  31.143 
437871  classical  m   0 S    42.502 0.072  21.734 
437915  resonant   9   5 S    44.481 0.137   6.587 
438028  resonant   3   2 S    39.411 0.279   3.134 
439858  classical  m   0 S    42.631 0.041   3.187 
443843  classical  m   0 S    46.444 0.118  10.636 
444018  classical  m   0 S    44.153 0.044   2.821 
