i_mid_deg,node_mid_deg,diff_mid_deg,q_mid,p_mid
8.25,59.53,8.89,0.07276326407658118,0.12367554312322702
7.18,347.75,3.51,0.12214109886774352,-0.02651943215990735
10.0,336.82,4.33,0.15963004561719848,-0.06835157747482447
10.0,345.37,2.87,0.16801799228869319,-0.043859364727757234
10.0,3.24,0.22,0.17337060975626195,0.009814340517209124
10.0,359.66,0.4,0.17364512027208395,-0.001030442982071978
7.12,28.71,4.84,0.10870999816842665,0.05954164843979445
10.0,15.83,2.4,0.16706262193451504,0.04736844898675806
10.0,359.05,0.51,0.1736243087765196,-0.0028790638967516042
10.0,358.83,0.54,0.1736119740799617,-0.003545710521815203
9.02,40.13,6.26,0.11987089131857015,0.10104798078848422
10.0,3.55,0.28,0.17331497172662708,0.010752217559380958
9.46,9.29,1.35,0.16220326033908175,0.02653273439320381
9.02,32.28,5.04,0.1325487291361108,0.08372908342589368
10.0,7.23,0.91,0.17226749075982592,0.021854089648372297
10.0,6.34,0.76,0.1725861635130438,0.019175655683566977
10.0,20.91,3.28,0.16221209028912562,0.0619752157808132
10.0,350.42,2.0,0.17122651322181687,-0.028899321392461468
6.57,47.06,7.08,0.07794453892468844,0.0837609701069256
7.17,42.47,6.49,0.09206648529153329,0.08427475047529438
10.0,353.6,1.45,0.17256598818609492,-0.019356376944106933
10.0,1.9,0.01,0.17355270866710615,0.005757336307389579
9.95,357.23,0.82,0.17258681466049697,-0.008350323355045057
10.0,352.67,1.61,0.1722290858189256,-0.02215471970084389
10.0,342.72,3.33,0.16581048811401763,-0.0515807293321548
7.72,4.97,2.33,0.13382703331450435,0.011637743498194972
10.0,4.09,0.37,0.17320593854481875,0.012385170965887982
10.0,9.74,1.35,0.17114514356775,0.02937736271723584
10.0,11.91,1.73,0.16991005000855955,0.03583663646513999
10.0,356.52,0.94,0.1733279786880956,-0.010540465404567323
10.0,27.33,4.37,0.15426504062132465,0.07972444323510111
10.0,9.84,1.37,0.1710936097543903,0.029676022446719578
10.0,351.34,1.84,0.1716684574906326,-0.026146324977569507
8.83,351.23,2.1,0.1517085440551222,-0.023404391947873686
5.68,30.77,5.71,0.08503984909411666,0.05063359335709868
10.0,344.49,3.02,0.16732457031529738,-0.04643466136246607
9.89,14.13,2.1,0.16656053486798814,0.04192984008254899
10.0,8.39,1.12,0.17178976260460938,0.025337069114200066
9.27,16.41,2.52,0.15452514900517347,0.045508531979321566
10.0,0.61,0.23,0.17363833641074652,0.0018487118634917508
10.0,3.46,0.26,0.1733316474447967,0.010479961885355457
10.0,355.41,1.14,0.17309126375932438,-0.013896187147768373
10.0,1.53,0.07,0.17358626891856024,0.0046364695598142755
8.41,353.9,2.04,0.14542757906041626,-0.01554172474932893
7.42,46.49,7.0,0.08891166085262697,0.09366059710557488
10.0,13.27,1.96,0.16901163121190035,0.03985922882016652
7.45,347.08,3.39,0.12637834434281964,-0.0289909368683221
7.58,26.57,4.42,0.1179791372908855,0.05900230699810368
8.25,22.18,3.63,0.13287451517517104,0.05417098654138323
10.0,351.98,1.73,0.17194979913396205,-0.02422717863961681
10.0,7.76,1.01,0.1720579678020155,0.023446648436107054
10.0,358.26,0.64,0.17356810946272092,-0.005272663898138405
8.04,28.86,4.59,0.1224934844195105,0.06750850262239455
8.54,359.66,1.51,0.14849722376789137,-0.000881210608446886
7.76,16.28,3.13,0.1296098425839528,0.0378514642975498
10.0,4.57,0.45,0.17309610389828717,0.01383576605321054
10.0,354.11,1.36,0.17273144424849912,-0.017819589638188634
10.0,0.37,0.28,0.1736445569305276,0.001121363209029799
10.0,358.53,0.6,0.17359102903792836,-0.004454687935076651
8.26,335.77,4.46,0.13100919898935112,-0.05896033905344496
10.0,356.79,0.9,0.1733757247674373,-0.009723562537035177
10.0,359.57,0.41,0.173643287430662,-0.0013032027157350507
10.0,16.39,2.5,0.16659167796617666,0.04899900447416757
10.0,8.61,1.15,0.17169120909414526,0.02599650605055024
9.94,359.8,0.38,0.17261574273422411,-0.0006025450575758073
10.0,5.66,0.64,0.17280158475584564,0.017126059468368617
10.0,356.09,1.02,0.17324399290659195,-0.011840968238556964
10.0,351.93,1.74,0.17192859146123296,-0.02437722390269775
10.0,28.22,4.52,0.15300808560105503,0.08211099407354669
10.0,3.73,0.31,0.17328033742009666,0.011296648645649669
10.0,353.81,1.41,0.17263577376176348,-0.018723760966296868
10.0,0.31,0.29,0.17364563600784577,0.0009395224726124126
10.0,354.92,1.22,0.17296609364911472,-0.015375957037253878
10.0,354.95,1.22,0.17297412077120744,-0.015285390098834414
10.0,8.33,1.11,0.17181620132222183,0.025157157435758432
10.0,4.85,0.5,0.17302642292225104,0.014681504615540013
7.31,38.22,5.95,0.09996317089272072,0.07871977581108672
10.0,358.49,0.6,0.17358787677623697,-0.004575876239997355
10.0,354.31,1.33,0.17279259388521964,-0.017216535814830895
10.0,7.06,0.89,0.17233157478098415,0.021342866268424854
10.0,348.04,2.41,0.16987871195062385,-0.03598489729098544
10.0,354.58,1.28,0.17287180603328722,-0.016402081753098124
10.0,10.88,1.55,0.17052679256914888,0.03277655599852239
10.0,6.72,0.83,0.1724551909420254,0.02031986033897278
10.0,358.13,0.66,0.17355569941097995,-0.00566646353657869
8.25,32.54,5.08,0.1209665955094501,0.07718299901375023
10.0,15.93,2.42,0.16697969398599022,0.04765995597344648
10.0,29.28,4.7,0.15146289447616598,0.08492750557945059
10.0,347.97,2.42,0.16983462133322966,-0.03619241638305326
10.0,358.65,0.57,0.17359997818011072,-0.00409111022961793
10.0,359.7,0.39,0.1736457973406761,-0.0009092155776559544
10.0,355.38,1.14,0.17308396400610493,-0.013986815612539267
10.0,354.76,1.25,0.17292248152059797,-0.015858908909639872
10.0,3.04,0.19,0.1734038119647941,0.009209104360584234
10.0,357.66,0.75,0.1735033784150934,-0.007089942566389847
10.0,10.6,1.5,0.170684932144228,0.03194281681326942
10.0,2.99,0.18,0.17341178239611363,0.00905777750050926
7.64,34.83,5.46,0.10913069492894685,0.07593258222376287
10.0,4.02,0.36,0.17322094061610707,0.012173550801508679
10.0,353.04,1.55,0.17236856261496036,-0.02104205857558363
10.0,356.09,1.02,0.17324399290659195,-0.011840968238556964
8.78,18.01,2.88,0.14516185955864314,0.04719395916762187
10.0,8.41,1.12,0.1717809078331813,0.025397033508933173
10.0,5.16,0.56,0.17294445616688978,0.01561744819695408
8.83,355.68,1.56,0.15306713241508796,-0.011562909495303308
10.0,5.31,0.58,0.17290297715885639,0.016070161687107825
